Price,Location,Size,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
55 000 000 Ksh,www.nairobilandhouse.com isselling a house at Mathare@55millions,25/35m,4.0,1.0,,,,Yes,Yes
180 000 000 Ksh,Kibra,/,4.0,4.0,,,Yes,,
45 000 000 Ksh,45M Komarock,25mx30m,4.0,3.0,,,,,
8 500 000 Ksh,Nairobi ,/,3.0,,,,,,
28 000 000 Ksh,28M Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
42 000 000 Ksh,Nairobi@festus,20mx30m,,,,,,,
50 000 000 Ksh,Nairobiwest:property24.com,35mx30m,4.0,3.0,,,,,
22 000 000 Ksh,Kawangware 22m,545 ms,4.0,1.0,,,,,
45 000 000 Ksh,"Nairobidealers,com",600Sqm,4.0,4.0,,,Yes,,Yes
60 000 000 Ksh,60M Kilimani,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Ksh,Kilimani:property24.com,25mx30m,4.0,3.0,,,,,
45 000 000 Ksh,www.nairobilandhouse.com is selling a house at Kinoo@45millions,25/30m,,1.0,,,,Yes,Yes
75 000 000 Ksh,Kasarani,/,6.0,3.0,,,,Yes,Yes
38 000 000 Ksh,Nairobi,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
50 000 000 Ksh,Dagoretti house for sale@50 millions,20/30m,4.0,3.0,,,,Yes,Yes
150 000 000 Ksh,150M Kilimani,25m/30m,5.0,3.0,,,,Yes,Yes
90 000 000 Ksh,"Kasarani, Nairobi",,4.0,3.0,Yes,Yes,Yes,Yes,
10 000 000 Ksh,Nairobi-Runda,/,,,,,,,Yes
60 000 000 Ksh,60M Gigiri,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Ksh,Kahawa @45.000.000 Ksh,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Ksh,Nairobi,22/30C,4.0,3.0,,,,Yes,
